origen;destino;escalas;dias_transito;frecuencia;tarifa,
Lima (LIM);Miami (MIA, USA);Directo (LIM?MIA);2;Diaria;300-999 kg = US$ 3.00/kg (estim.)
Lima (LIM);Miami (MIA, USA);LIM ? Bogotá (BOG) ? MIA;3;3 veces/sem;300-999 kg = US$ 3.50/kg (estim.)
Lima (LIM);Los Ángeles (LAX, USA);Directo (LIM?LAX);2;Varias/sem;100-299 kg = US$ 2.80/kg (estim.)
Lima (LIM);Los Ángeles (LAX, USA);LIM ? Santiago (SCL) ? LAX;3;2 veces/sem;100-299 kg = US$ 3.20/kg (estim.)
Lima (LIM);New York (JFK, USA);Directo (LIM?JFK);2;Varias/sem;300-999 kg = US$ 3.20/kg (estim.)
Lima (LIM);New York (JFK, USA);LIM ? Panama (PTY) ? JFK;3;3 veces/sem;300-999 kg = US$ 3.60/kg (estim.)
Lima (LIM);Chicago (ORD, USA);LIM ? MIA ? ORD;3;2 veces/sem;300-999 kg = US$ 3.80/kg (estim.)
Lima (LIM);Houston (IAH, USA);Directo (LIM?IAH);2;2-3 veces/sem;300-999 kg = US$ 3.00/kg (estim.)
Lima (LIM);Toronto (YYZ, Canada);LIM ? MIA ? YYZ;3;1-2 veces/sem;300-999 kg = US$ 4.00/kg (estim.)
Lima (LIM);Montreal (YUL, Canada);Directo (LIM?YUL);2;1 vez/sem;0-50 kg = US$ 350.00 (ejemplo)
Lima (LIM);Mexico City (MEX, Mexico);Directo (LIM?MEX);1;Varias/sem;300-999 kg = US$ 1.80/kg (estim.)
Lima (LIM);Guadalajara (GDL, Mexico);LIM ? MEX ? GDL;2;2 veces/sem;300-999 kg = US$ 2.20/kg (estim.)
Lima (LIM);Sao Paulo (GRU, Brazil);Directo (LIM?GRU);2;Varias/sem;300-999 kg = US$ 3.10/kg (estim.)
Lima (LIM);Sao Paulo (GRU, Brazil);LIM ? Santiago (SCL) ? GRU;3;1-2 veces/sem;300-999 kg = US$ 3.60/kg (estim.)
Lima (LIM);Rio de Janeiro (GIG, Brazil);LIM ? Sao Paulo (GRU) ? GIG;3;1 vez/sem;51-99 kg = US$ 5.00/kg (estim.)
Lima (LIM);Buenos Aires (EZE, Argentina);Directo (LIM?EZE);1;1 vez/sem;300-999 kg = US$ 3.00/kg (según PROMPERÚ)
Lima (LIM);Buenos Aires (EZE, Argentina);LIM ? Santiago (SCL) ? EZE;2;2 veces/sem;300-999 kg = US$ 3.50/kg (estim.)
Lima (LIM);Montevideo (MVD, Uruguay);LIM ? Buenos Aires (EZE) ? MVD;2;1 vez/sem;300-999 kg = US$ 4.00/kg (estim.)
Lima (LIM);Asuncion (ASU, Paraguay);LIM ? Sao Paulo (GRU) ? ASU;3;1 vez/sem;300-999 kg = US$ 4.50/kg (estim.)
Lima (LIM);Santiago (SCL, Chile);Directo (LIM?SCL);1;Diaria;300-999 kg = US$ 2.50/kg (estim.)
Lima (LIM);Santiago (SCL, Chile);LIM ? Bogota (BOG) ? SCL;2;2 veces/sem;300-999 kg = US$ 3.10/kg (estim.)
Lima (LIM);Quito (UIO, Ecuador);Directo (LIM?UIO);1;Varias/sem;100-299 kg = US$ 2.20/kg (estim.)
Lima (LIM);Guayaquil (GYE, Ecuador);Directo (LIM?GYE);1;Varias/sem;100-299 kg = US$ 2.20/kg (estim.)
Lima (LIM);Bogota (BOG, Colombia);Directo (LIM?BOG);1;Diaria;100-299 kg = US$ 2.50/kg (estim.)
